"TIMESTAMP","RECORD","HYGRO_OUT_Avg(1)","HYGRO_OUT_Avg(2)","HYGRO_OUT_Avg(3)","HYGRO_OUT_Avg(4)","HYGRO_OUT_Avg(5)","HYGRO_OUT_Avg(6)","HYGRO_OUT_Max(1)","HYGRO_OUT_Max(2)","HYGRO_OUT_Max(3)","HYGRO_OUT_Max(4)","HYGRO_OUT_Max(5)","HYGRO_OUT_Max(6)","HYGRO_OUT_Min(1)","HYGRO_OUT_Min(2)","HYGRO_OUT_Min(3)","HYGRO_OUT_Min(4)","HYGRO_OUT_Min(5)","HYGRO_OUT_Min(6)","RH_OUT_Avg(1)","RH_OUT_Avg(2)","RH_OUT_Avg(3)","RH_OUT_Avg(4)","RH_OUT_Avg(5)","RH_OUT_Avg(6)","RH_OUT_Max(1)","RH_OUT_Max(2)","RH_OUT_Max(3)","RH_OUT_Max(4)","RH_OUT_Max(5)","RH_OUT_Max(6)","RH_OUT_Min(1)","RH_OUT_Min(2)","RH_OUT_Min(3)","RH_OUT_Min(4)","RH_OUT_Min(5)","RH_OUT_Min(6)","Temp_Avg(1)","Temp_Avg(2)","Temp_Avg(3)","Temp_Avg(4)","Temp_Avg(5)","Temp_Avg(6)","Temp_Max(1)","Temp_Max(2)","Temp_Max(3)","Temp_Max(4)","Temp_Max(5)","Temp_Max(6)","Temp_Min(1)","Temp_Min(2)","Temp_Min(3)","Temp_Min(4)","Temp_Min(5)","Temp_Min(6)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min"
"2019-07-02 12:23:00",28,15.68323,15.81829,15.78405,15.11492,14.82679,14.98091,15.6861,15.8233,15.78755,15.11981,14.83142,14.98862,15.68087,15.81137,15.78051,15.11063,14.82174,14.97187,73.0946,73.68075,73.53274,70.55599,69.22543,69.94071,73.10709,73.70235,73.54791,70.57833,69.24704,69.97629,73.08427,73.65086,73.51742,70.5364,69.20184,69.89899,102.8,103.6,102.7,95.6,92,90.6,102.8,103.7,102.7,95.6,92,90.6,102.7,103.6,102.6,95.6,91.9,90.6
"2019-07-02 12:24:00",29,15.69098,15.82134,15.78589,15.13291,14.83933,14.995,15.6955,15.82455,15.79075,15.14052,14.85722,15.00168,15.68715,15.81769,15.7814,15.12531,14.82248,14.97666,73.12836,73.69389,73.54072,70.63814,69.2839,70.0057,73.14809,73.70775,73.56176,70.67281,69.36729,70.03648,73.11168,73.67815,73.5213,70.60343,69.20527,69.9211,102.8,103.6,102.8,95.7,92,90.6,102.8,103.7,102.8,95.7,92.1,90.7,102.8,103.6,102.8,95.6,92,90.6
"2019-07-02 12:25:00",30,15.69636,15.82407,15.78936,15.14004,14.84036,15.0031,15.69758,15.82486,15.79114,15.14336,14.86138,15.00677,15.69438,15.82186,15.78785,15.13781,14.82164,14.99845,73.15185,73.70566,73.55576,70.67062,69.2887,70.04304,73.15718,73.70908,73.56345,70.68578,69.38667,70.05995,73.14323,73.69613,73.54922,70.66046,69.20136,70.02162,102.8,103.6,102.9,95.7,92.1,90.7,102.8,103.7,103,95.8,92.2,90.7,102.8,103.6,102.9,95.7,92.1,90.7
"2019-07-02 12:26:00",31,15.69862,15.82711,15.79359,15.1459,14.85896,14.99216,15.70071,15.83011,15.79638,15.15338,14.86577,14.99687,15.69758,15.82511,15.78924,15.14112,14.84896,14.98932,73.16173,73.71877,73.57403,70.69733,69.3754,69.99262,73.17083,73.73171,73.58611,70.73141,69.40711,70.01432,73.15718,73.71016,73.55521,70.67554,69.32879,69.97952,102.9,103.7,103,95.8,92.2,90.7,102.9,103.7,103.1,95.9,92.2,90.7,102.8,103.7,103,95.8,92.2,90.7
"2019-07-02 12:27:00",32,15.70547,15.83223,15.80304,15.15505,14.84934,14.9824,15.7085,15.83526,15.80687,15.1607,14.86321,14.99127,15.70175,15.82731,15.79806,15.15073,14.83599,14.9706,73.19156,73.74085,73.61486,70.73901,69.33057,69.94758,73.20475,73.75392,73.63142,70.76476,69.39516,69.98853,73.17533,73.71963,73.59336,70.71937,69.26832,69.89313,102.9,103.7,103.1,95.9,92.2,90.7,102.9,103.7,103.2,96,92.2,90.7,102.9,103.6,103.1,95.9,92.2,90.7
"2019-07-02 12:28:00",33,15.71043,15.82364,15.80987,15.15728,14.83179,14.97945,15.7152,15.82531,15.81282,15.16211,14.85042,14.98966,15.70527,15.82031,15.80662,15.15215,14.82138,14.97455,73.21316,73.70382,73.64437,70.74918,69.24871,69.934,73.23391,73.71101,73.65713,70.77116,69.33561,69.9811,73.19067,73.68945,73.63035,70.72581,69.20013,69.91137,103,103.7,103.2,96,92.3,90.8,103,103.7,103.2,96,92.3,90.8,103,103.7,103.2,96,92.2,90.7
"2019-07-02 12:29:00",34,15.71623,15.83013,15.81332,15.1534,14.81593,14.99623,15.71726,15.83508,15.81672,15.15582,14.83746,15.00587,15.71416,15.8267,15.80925,15.14769,14.79216,14.97932,73.2384,73.73181,73.65928,70.73152,69.17461,70.01138,73.24291,73.75314,73.67395,70.74252,69.27519,70.05579,73.22941,73.71703,73.64172,70.70549,69.06355,69.9334,103,103.8,103.3,96.1,92.4,90.8,103,103.8,103.3,96.2,92.4,90.8,103,103.7,103.2,96,92.3,90.8
"2019-07-02 12:30:00",35,15.71998,15.83827,15.82191,15.15851,14.7918,15.01271,15.72243,15.84343,15.82649,15.16256,14.80997,15.01682,15.71708,15.8343,15.81773,15.15625,14.77419,15.00932,73.25474,73.76687,73.69636,70.75478,69.06185,70.0873,73.2654,73.78911,73.71611,70.77323,69.14684,70.10622,73.2421,73.74978,73.67831,70.74451,68.97941,70.07166,103,103.8,103.4,96.2,92.5,90.8,103.1,103.8,103.4,96.3,92.5,90.8,103,103.8,103.3,96.2,92.4,90.7
"2019-07-02 12:31:00",36,15.71942,15.84627,15.82758,15.15933,14.80174,15.01124,15.72028,15.84757,15.83377,15.16162,14.81937,15.02145,15.71821,15.84443,15.82242,15.15715,14.77745,15.00416,73.25229,73.80134,73.72079,70.75851,69.10835,70.08051,73.25605,73.80694,73.74749,70.76893,69.19075,70.12752,73.24703,73.79339,73.69858,70.74858,68.99466,70.04791,103.1,103.8,103.4,96.3,92.5,90.8,103.1,103.8,103.4,96.3,92.6,90.8,103.1,103.8,103.4,96.3,92.5,90.8
"2019-07-02 12:32:00",37,15.72404,15.84659,15.82983,15.15718,14.83222,15.01246,15.72647,15.84878,15.83377,15.15978,14.83939,15.02302,15.72131,15.84481,15.82668,15.15352,14.82578,15.00323,73.27238,73.80271,73.73051,70.74871,69.25076,70.08614,73.28297,73.81213,73.74749,70.76054,69.28419,70.13471,73.26053,73.79502,73.71692,70.73206,69.2207,70.04366,103.1,103.8,103.5,96.4,92.6,90.9,103.1,103.8,103.6,96.5,92.7,90.9,103.1,103.8,103.4,96.4,92.6,90.8
